pmid,Title,pmid,Abstract,pmid,Author,pmid,Year,pmid,Journal
37921807,The bad and the good of trends in model building and refinement for sparse-data regions: pernicious forms of overfitting versus good new tools and predictions.,37921807,"Model building and refinement, and the validation of their correctness, are very effective and reliable at local resolutions better than about 2.5 Å for both crystallography and cryo-EM. However, at local resolutions worse than 2.5 Å both the procedures and their validation break down and do not ensure reliably correct models. This is because in the broad density at lower resolution, critical features such as protein backbone carbonyl O atoms are not just less accurate but are not seen at all, and so peptide orientations are frequently wrongly fitted by 90-180°. This puts both backbone and side chains into the wrong local energy minimum, and they are then worsened rather than improved by further refinement into a valid but incorrect rotamer or Ramachandran region. On the positive side, new tools are being developed to locate this type of pernicious error in PDB depositions, such as CaBLAM, EMRinger, Pperp diagnosis of ribose puckers, and peptide flips in PDB-REDO, while interactive modeling in Coot or ISOLDE can help to fix many of them. Another positive trend is that artificial intelligence predictions such as those made by AlphaFold2 contribute additional evidence from large multiple sequence alignments, and in high-confidence parts they provide quite good starting models for loops, termini or whole domains with otherwise ambiguous density.",37921807,"['Richardson JS', 'Williams CJ', 'Chen VB', 'Prisant MG', 'Richardson DC']",37921807,2023,37921807,Acta Crystallogr D Struct Biol
37921703,Capsule Shedding and Membrane Binding Enhanced Photodynamic Killing of Gram-Negative Bacteria by a Unimolecular Conjugated Polyelectrolyte.,37921703,"The development of new antimicrobial agents to treat infections caused by Gram-negative bacteria is of paramount importance due to increased antibiotic resistance worldwide. Herein, we show that a water-soluble porphyrin-cored hyperbranched conjugated polyelectrolyte (",37921703,"['Qi G', 'Tang Y', 'Shi L', 'Zhuang J', 'Liu X', 'Liu B']",37921703,2023,37921703,Nano Lett
37921692,Macroscopic Nematic Orientation Dictated by an Orientationally Frustrated Random-Field Surface: Equilibrium Structure and Kinetics.,37921692,"Liquid crystals subjected to frustrated surfaces with mixed anchoring conditions demonstrate a rich variety of orientational patterns. Particularly, it would trigger either continuous or discontinuous variation of the bulk orientation, i.e., a phenomenon known as the anchoring or orientational transition. Despite its prime importance in developing novel optoelectronic devices, how the surface anchoring patterns dedicate the energy landscape of a system, thus the equilibrium state, still needs to be understood. Here, we designed a simulation to model boundary substrates with two randomly mixed anchoring domains in space, which exhibit planar and homeotropic preferences. We numerically obtain general bulk orientational state diagrams under various surface and electric field conditions, which reveal the roles of each domain's size and surface fraction and anchoring strength on the bulk orientational state. Furthermore, we examine how the external electric field modifies the orientational state diagram and uncovers a field-assisted anchoring transition. We discuss the observed bistability and compare it to experimental evidence.",37921692,"['Chen Z', 'Aya S']",37921692,2023,37921692,Langmuir
37921672,Benford's Law and distributions for better drug design.,37921672,"INTRODUCTION: Modern drug discovery incorporates various tools and data, heralding the beginning of the data-driven drug design (DD) era. The distributions of chemical and physical data used for Artificial Intelligence (AI)/Machine Learning (ML) and to drive DD have thus become highly important to be understood and used effectively.
AREAS COVERED: The authors perform a comprehensive exploration of the statistical distributions driving the data-intensive era of drug discovery, including Benford's Law in AI/ML-based DD.
EXPERT OPINION: As the relevance of data-driven discovery escalates, we anticipate meticulous scrutiny of datasets utilizing principles like Benford's Law to enhance data integrity and guide efficient resource allocation and experimental planning. In this data-driven era of the pharmaceutical and medical industries, addressing critical aspects such as bias mitigation, algorithm effectiveness, data stewardship, effects, and fraud prevention are essential. Harnessing Benford's Law and other distributions and statistical tests in DD provides a potent strategy to detect data anomalies, fill data gaps, and enhance dataset quality. Benford's Law is a fast method for data integrity and quality of datasets, the backbone of AI/ML and other modeling approaches, proving very useful in the design process.",37921672,['García-Sosa AT'],37921672,2023,37921672,Expert Opin Drug Discov
37921647,When microplastics meet electroanalysis: future analytical trends for an emerging threat.,37921647,"Microplastics are a major modern challenge that must be addressed to protect the environment, particularly the marine environment. Microplastics, defined as particles ≤5 mm, are ubiquitous in the environment. Their small size for a relatively large surface area, high persistence and easy distribution in water, soil and air require the development of new analytical methods to monitor their presence. At present, the availability of analytical techniques that are easy to use, automated, inexpensive and based on new approaches to improve detection remains an open challenge. This review aims to outline the evolution and novelties of classical and advanced methods, in particular the recently reported electroanalytical detectors, methods and devices. Among all the studies reviewed here, we highlight the great advantages of electroanalytical tools over spectroscopic and thermal analysis, especially for the rapid and accurate detection of microplastics in the sub-micron range. Finally, the challenges faced in the development of automated analytical methods are discussed, highlighting recent trends in artificial intelligence (AI) in microplastics analysis.",37921647,"['Mosquera-Ortega M', 'Rodrigues de Sousa L', 'Susmel S', 'Cortón E', 'Figueredo F']",37921647,2023,37921647,Anal Methods
37921638,Development of the ARENA training programme for resilient performance in defense and security settings.,37921638,"Defense and Security Personnel (DSP) often have to operate in the presence of stressful demands. Prior research has identified factors and processes associated with DSP being able to perform resiliently in demanding situations and settings. The aim of the present study was to develop a resilient performance training programme for UK defense and security operators. An intervention mapping (IM) method was used to guide the development of the programme. Typically, IM follows six sequential phases. In the present work, these phases were shaped by insights from prior research (e.g. systematic review and end user interviews), the input of a dedicated working group (",37921638,"['Jones MV', 'Smith N', 'Walker L', 'Turner M', 'McCann A', 'Braithwaite E', 'Burns D', 'Emmerson P', 'Webster L', 'Jones M']",37921638,2023,37921638,Mil Psychol
37921628,Influence of formaldehyde exposure on the molecules of the NO/cGMP-cAMP signaling pathway in different brain regions of Balb/c mice.,37921628,"This toxicology study was conducted to assess the impact of formaldehyde, a common air pollutant found in Chinese gymnasiums, on the brain function of athletes. In this research, a total of 24 Balb/c male mice of SPF-grade were divided into four groups, each consisting of six mice. The mice were exposed to formaldehyde at different concentrations, including 0 mg/m",37921628,"['Huang X', 'Cao F', 'Zhao W', 'Ma P', 'Yang X', 'Ding S']",37921628,2023,37921628,Toxicol Ind Health
37921569,Targeted Depletion of Individual Pathogen by Bacteria-templated Polymer.,37921569,"Selective and targeted removal of individual species or strains of bacteria from complex communities can be desirable over traditional and broadly acting antibiotics in several conditions. However, strategies that could detect and ablate bacteria with high specificity are emerging in recent years. Herein, we report a platform that uses bacteria as a template to synthesize polymers containing guanidinium groups for self-selective depletion of specific pathogenic bacteria without disturbing microbial communities. Different from conventional antibiotics, repeated treatment of bacteria with the templated polymers does not evolve drug resistance mutants after 20 days of serial passaging. Especially, high in vivo therapeutic effectiveness of the templated polymers is achieved in E. coli- and P. aeruginosa-induced microbial peritonitis. The templated polymers have shown high selectivity in in vivo antimicrobial activity, which has excellent potential as systemic antimicrobials against bacterial infections. This article is protected by copyright. All rights reserved.",37921569,"['Qi G', 'Liu X', 'Shi L', 'Zhuang J', 'Liu B']",37921569,2023,37921569,Adv Mater
37921560,PLEK2 mediates metastasis and invasion via α5-nAChR activation in nicotine-induced lung adenocarcinoma.,37921560,"Evidence have shown a strong relationship between smoking and epithelial mesenchymal transition (EMT). α5-nicotinic acetylcholine receptor (α5-nAChR) contributes to nicotine-induced lung cancer cell EMT. The cytoskeleton-associated protein PLEK2 is mainly involved in cytoskeletal protein recombination and cell stretch migration regulation, which is closely related to EMT. However, little is known about the link between nicotine/α5-nAChR and PLEK2 in lung adenocarcinoma (LUAD). Here, we identified a link between α5-nAChR and PLEK2 in LUAD. α5-nAChR expression was correlated with PLEK2 expression, smoking status and lower survival in vivo. α5-nAChR mediated nicotine-induced PLEK2 expression via STAT3. α5-nAChR/PLEK2 signaling is involved in LUAD cell migration, invasion and stemness. Moreover, PLEK2 was found to interact with CFL1 in nicotine-induced EMT in LUAD cells. Furthermore, the functional link among α5-nAChR, PLEK2 and CFL1 was confirmed in mouse xenograft tissues and human LUAD tissues. These findings reveal a novel α5-nAChR/PLEK2/CFL1 pathway involved in nicotine-induced LUAD progression.",37921560,"['Li Q', 'Li J', 'Wang J', 'Wang J', 'Lu T', 'Jia Y', 'Sun H', 'Ma X']",37921560,2023,37921560,Mol Carcinog
37921509,What generative AI means for trust in health communications.,37921509,,37921509,"['Dunn AG', 'Shih I', 'Ayre J', 'Spallek H']",37921509,2023,37921509,J Commun Healthc
37921452,"Nanoarchitectonics composite hydrogels with high toughness, mechanical strength, and self-healing capability for electrical actuators with programmable shape memory properties.",37921452,"Hydrogel materials show promise in various fields, including flexible electronic devices, biological tissue engineering and wound dressing. Nevertheless, the inadequate mechanical properties, recovery performance, and self-healing speed still constrain the development of intelligent hydrogel materials. To tackle these challenges, we designed a composite hydrogel with high mechanical strength, rapid self-recovery and efficient self-healing ability based on multiple synergistic effects. With the synergistic effect of hydrogen bonds, metal coordination bonds and electrostatic interaction, the synthesized hydrogel could reach a maximum tensile strength of 6.2 MPa and a toughness of 50 MJ m",37921452,"['Wang Y', 'Li P', 'Cao S', 'Liu Y', 'Gao C']",37921452,2023,37921452,Nanoscale
37921434,Cohort profile update: The Canadian Maternal-Infant Research on Environmental Chemicals Child Development study (MIREC-CD PLUS).,37921434,"BACKGROUND: The pan-Canadian Maternal-Infant Research on Environmental Chemicals (MIREC) study was established to determine whether maternal environmental chemical exposures were associated with adverse pregnancy outcomes in 2001 pregnant women.
OBJECTIVES: The MIREC-Child Development (CD PLUS) study followed this cohort with the goal of assessing the potential effects of prenatal exposures on anthropometry and neurodevelopment in early childhood.
POPULATION: MIREC families with children between the ages of 15 months and 5 years who had agreed to be contacted for future research (n = 1459) were invited to participate in MIREC-CD PLUS which combines data collected from an online Maternal Self-Administered Questionnaire with biomonitoring and neurodevelopment data collected from two in-person visits.
PRELIMINARY RESULTS: Between April 2013 and March 2015, 803 children participated in the Biomonitoring visit where we collected anthropometric measures, blood, and urine from the children. The Behavioural Assessment System for Children-2, Behaviour Rating Inventory of Executive Function, MacArthur-Bates Communicative Development Inventories and the Communication subscale of the Adaptive Behaviour Scale from the Bayley Scales of Infant and Toddler Development-III are available on close to 900 children. There were 610 singleton children who completed in-person visits for neurodevelopment assessments including the Social Responsiveness Scale, Wechsler Preschool Primary Scale of Intelligence-III and NEuroPSYchological assessments (NEPSY). Currently, we are following the cohort into early adolescence to measure the impact of early life exposures on endocrine and metabolic function (MIREC-ENDO).
CONCLUSIONS: Data collection for the MIREC-CD PLUS study is complete and analysis of the data continues. We are now extending the follow-up of the cohort into adolescence to measure the impact of early life exposures on endocrine and metabolic function (MIREC-ENDO). MIREC-CD PLUS is limited by loss to follow-up and the fact that mothers are predominately of higher socioeconomic status and 'White' ethnicity, which limits our generalizability. However, the depth of biomonitoring and clinical measures in MIREC provides a platform to examine associations of prenatal, infancy and childhood exposures with child growth and development.",37921434,"['Fisher M', 'Muckle G', 'Lanphear B', 'Arbuckle TE', 'Braun JM', 'Zidek A', 'Vélez MP', 'Lupien N', 'Bastien S', 'Ashley-Martin J', 'Oulhote Y', 'Borghese MM', 'Walker M', 'Asztalos E', 'Bouchard MF', 'Booij L', 'Palmert MR', 'Morrison KM', 'Cummings EA', 'Khatchadourian K', 'Panagiotopoulos C', 'Glendon G', 'Shutt R', 'Abdul-Fatah A', 'Seal K', 'Fraser WD']",37921434,2023,37921434,Paediatr Perinat Epidemiol
37921358,Climate warming could free cold-adapted trees from C-conservative allocation strategy of storage over growth.,37921358,"Carbon allocation has been fundamental for long-lived trees to survive cold stress at their upper elevation range limit. Although carbon allocation between non-structural carbohydrate (NSC) storage and structural growth is well-documented, it still remains unclear how ongoing climate warming influences these processes, particularly whether these two processes will shift in parallel or respond divergently to warming. Using a combination of an in situ downward-transplant warming experiment and an ex situ chamber warming treatment, we investigated how subalpine fir trees at their upper elevation limit coordinated carbon allocation priority among different sinks (e.g., NSC storage and structural growth) at whole-tree level in response to elevated temperature. We found that transplanted individuals from the upper elevation limit to lower elevations generally induced an increase in specific leaf area, but there was no detected evidence of warming effect on leaf-level saturated photosynthetic rates. Additionally, our results challenged the expectation that climate warming will accelerate structural carbon accumulation while maintaining NSC constant. Instead, individuals favored allocating available carbon to NSC storage over structural growth after 1 year of warming, despite the amplification in total biomass encouraged by both in situ and ex situ experimental warming. Unexpectedly, continued warming drove a regime shift in carbon allocation priority, which was manifested in the increase of NSC storage in synchrony to structural growth enhancement. These findings imply that climate warming would release trees at their cold edge from C-conservative allocation strategy of storage over structural growth. Thus, understanding the strategical regulation of the carbon allocation priority and the distinctive function of carbon sink components is of great implication for predicting tree fate in the future climate warming.",37921358,"['Zhou Q', 'Shi H', 'He R', 'Liu H', 'Zhu W', 'Wu S', 'Zhang Q', 'Dang H']",37921358,2023,37921358,Glob Chang Biol
37921238,Can we use machine learning to improve the interpretation and application of urodynamic data?: International Consultation on Incontinence-Research Society 2023.,37921238,"INTRODUCTION: A ""Think Tank"" at the International Consultation on Incontinence-Research Society meeting held in Bristol, United Kingdom in June 2023 considered the progress and promise of machine learning (ML) applied to urodynamic data.
METHODS: Examples of the use of ML applied to data from uroflowmetry, pressure flow studies and imaging were presented. The advantages and limitations of ML were considered. Recommendations made during the subsequent debate for research studies were recorded.
RESULTS: ML analysis holds great promise for the kind of data generated in urodynamic studies. To date, ML techniques have not yet achieved sufficient accuracy for routine diagnostic application. Potential approaches that can improve the use of ML were agreed and research questions were proposed.
CONCLUSIONS: ML is well suited to the analysis of urodynamic data, but results to date have not achieved clinical utility. It is considered likely that further research can improve the analysis of the large, multifactorial data sets generated by urodynamic clinics, and improve to some extent data pattern recognition that is currently subject to observer error and artefactual noise.",37921238,"['Gammie A', 'Arlandis S', 'Couri BM', 'Drinnan M', 'Carolina Ochoa D', 'Rantell A', 'de Rijk M', 'van Steenbergen T', 'Damaser M']",37921238,2023,37921238,Neurourol Urodyn
37921123,"Regioselective synthesis of indazolo[2,3-a]quinazolines enabled by I<sub>2</sub>/S-facilitated annulation relay dehydrogenative aromatization of cyclohexanones.",37921123,"A method for concise and efficient synthesis of indazolo[2,3-",37921123,"['Gao Q', 'Guo Y', 'Cao P', 'Fan G', 'Xu Y']",37921123,2023,37921123,Chem Commun (Camb)
37921118,Mystical and Affective Aspects of Psychedelic Use in a Naturalistic Setting: A Linguistic Analysis of Online Experience Reports.,37921118,"Analyzing online retrospective experience reports of psychedelic use can provide valuable insight into their acute subjective effects. Such reports are unexplored in relation to mystical states, which are thought to be a therapeutic mechanism within psychedelic-assisted psychotherapy. We created a set of words that, when encountered in an experience report, indicate the occurrence of mystical elements within the experience. We used the Shroomery.org website to retrieve 7317 publicly available retrospective psychedelic experience reports of psychedelic use, primarily of psilocybin, and have a designated experience intensity level self-assessed by the text authors during submission of the report. We counted the mystical language words using Linguistic Inquiry and Word Count (LIWC) software and additionally performed sentiment analysis of all reports. We found that the occurrence of mystical language grew with increased self-reported experience intensity. We also found that negative sentiment increased, and positive sentiment decreased as self-reported psychedelic experience intensity increased. These two findings raise the question of whether mystical experiences can co-exist with challenging elements within the psychedelic experience, a consideration for future qualitative studies. We present a new mystical language dictionary measure for further use and expansion, with some suggestions on how it can be used in future studies.",37921118,"['Žuljević MF', 'Mijatović A', 'Marušić SL', 'Kudrjavets G', 'Buljan I', 'Hren D']",37921118,2023,37921118,J Psychoactive Drugs
37921030,Why do errors arise in artificial intelligence diagnostic tools in histopathology and how can we minimize them?,37921030,"Artificial intelligence (AI)-based diagnostic tools can offer numerous benefits to the field of histopathology, including improved diagnostic accuracy, efficiency and productivity. As a result, such tools are likely to have an increasing role in routine practice. However, all AI tools are prone to errors, and these AI-associated errors have been identified as a major risk in the introduction of AI into healthcare. The errors made by AI tools are different, in terms of both cause and nature, to the errors made by human pathologists. As highlighted by the National Institute for Health and Care Excellence, it is imperative that practising pathologists understand the potential limitations of AI tools, including the errors made. Pathologists are in a unique position to be gatekeepers of AI tool use, maximizing patient benefit while minimizing harm. Furthermore, their pathological knowledge is essential to understanding when, and why, errors have occurred and so to developing safer future algorithms. This paper summarises the literature on errors made by AI diagnostic tools in histopathology. These include erroneous errors, data concerns (data bias, hidden stratification, data imbalances, distributional shift, and lack of generalisability), reinforcement of outdated practices, unsafe failure mode, automation bias, and insensitivity to impact. Methods to reduce errors in both tool design and clinical use are discussed, and the practical roles for pathologists in error minimisation are highlighted. This aims to inform and empower pathologists to move safely through this seismic change in practice and help ensure that novel AI tools are adopted safely.",37921030,"['Evans H', 'Snead D']",37921030,2023,37921030,Histopathology
37921018,Early prognostication of critical patients with spinal cord injury: A machine learning study with 1485 cases.,37921018,"STUDY DESIGN: A retrospective case-series.
OBJECTIVE: The study aims to use machine-learning (ML) to predict the discharge destination of spinal cord injury (SCI) patients in the intensive care unit (ICU).
SUMMARY OF BACKGROUND DATA: Prognostication following SCI is vital, especially for critical patients who need intensive care.
METHODS: Clinical data of patients diagnosed with SCI were extracted from a publicly available ICU database. The firstly recorded data of the included patients were used to develop a total of 98 ML classifiers, seeking to predict discharge destination (e.g. death, further medical care, home). The micro-average area under the curve (AUC) was the main indicator to assess discrimination. The best average-AUC classifier and the best death-sensitivity classifier were integrated into an ensemble classifier. The discrimination of the ensemble classifier was compared with top death-sensitivity classifiers and top average-AUC classifiers. Additionally, prediction consistency and clinical utility were also assessed.
RESULTS: A total of 1485 SCI patients were included. The ensemble classifier had a micro-average AUC of 0.851, which was only slightly inferior to the best average-AUC classifier (P=0.10) The best average-AUC classifier death sensitivity was much lower than that of the ensemble classifier. The ensemble classifier had a death sensitivity of 0.452, which was inferior to top 8 death-sensitivity classifiers, whose micro-average AUC were inferior to the ensemble classifier (P<0.05). Additionally, the ensemble classifier demonstrated a comparable Brier score and superior Net benefit in the decision curve analysis, when compared to the performance of the origin classifiers.
CONCLUSIONS: The ensemble classifier shows an overall superior performance in predicting discharge destination considering discrimination ability, prediction consistency and clinical utility. This classifier system may aid in the clinical management of critical SCI patients in the early phase following injury.
LEVEL OF EVIDENCE: 3.",37921018,"['Fan G', 'Liu H', 'Yang S', 'Luo L', 'Pang M', 'Liu B', 'Zhang L', 'Han L', 'Rong L', 'Liao X']",37921018,2023,37921018,Spine (Phila Pa 1976)
