Question_Type,pmid1,pmid2,Chunk1,chunk2,Question,Expected_Answer,ActualChatbot_Answer,
List-Type,23277023,,"The cochlear outer hair cells serve a tuning function, and any dysfunction of their electromotile response can be reflected in language disorders. Otoacoustic emissions can be used to determine any dysfunction of these cells. A set of clinical records was established to register the neurological and auditory functioning in 42 children, followed by assessment with the Wechsler Intelligence Scale for Children (WISC), the Initial Language Test (ILT), the Auditory and Phonetic Discrimination Evaluation (APDE), tests for measuring Brainstem Auditory Evoked Potential (BAEP) and Transient Otoacoustic Emissions (TOAE). Subjects were classified into 3 groups in this study: Control (C; n = 20), Syntactic Phonological Disorder (SPD; n = 17), and those with Phonological Disability (PD; n = 5). BAEP studies showed a clear response when all children were stimulated to 20 dB. TOAE responses displayed clear and significant differences with half-octave band reproducibility for both ears, the largest effect being observed in the right ear. The results that were compared using ANOVA tests, showed that cochlear processing affects the brain language function, playing a critical role in the language phonetic process.",,Into what groups were the subjects classified in the study on cochlear outer hair cells' function and its impact on language disorders?,"Subjects were classified into three groups: Control (C; n = 20), Syntactic Phonological Disorder (SPD; n = 17), and those with Phonological Disability (PD; n = 5).",The study found that hearing sensitivity loss and different cognitive functions were associated with sentence-in-noise performance in individuals with UMA. The results suggest that cognitive functions may play a role in the perception of speech in noise.,
List-Type,23356683,,"Development of the Woodcock-Johnson (3rd ed.; WJ-III; Woodcock, McGrew & Mather, 2001a) was guided in part by Carroll's (1993) 3-stratum theory of cognitive abilities and based on confirmatory factor analysis (CFA), even though Carroll used exploratory factor analysis (EFA) to derive his theory. Using CFA, McGrew and Woodcock (2001) found a 9-factor model across all age ranges. To determine if the 9-factor structure holds for the full WJ-III battery, we applied currently recognized best practices in EFA to 2 school-aged 42-subtest correlation matrices (ages 9-13 and 14-19 years). Six factors emerged at the 9-13 age range, while 5 factors were indicated at the 14-19 age range. The resulting 1st-order factors displayed patterns of both convergence with and divergence from the WJ-III results presented in the Technical Manual. These results also revealed a robust manifestation of general intelligence (g) that dwarfed the variance attributed to the lower order factors. It is surprising that this study represents the first time the WJ-III full battery was subjected to EFA analyses given the instrument's significant use by practitioners and that it served as the initial evidentiary basis for Cattell-Horn-Carroll (CHC) theory. The lack of confirmation of CFA results with EFA methods in the current study permits questioning of the structure of the WJ-III and its relationship with CHC theory. Additional independent, structural analyses are clearly indicated for the WJ-III full test battery before we can be confident in its structure.",,List the number of factors that emerged in the exploratory factor analysis (EFA) for the 9-13 age range and the 14-19 age range.,"6 factors for 9-13 age range, 5 factors for 14-19 age range.",The number of factors that emerged in the EFA for the 9-13 age range is 6 and the number of factors that emerged in the EFA for the 14-19 age range is 5.,
List-Type,23490758,,"BACKGROUND: Cognitive deficits have been recognized as a key feature of schizophrenia, since the first description by Kraepelin. Specifically, lower intelligence is considered a core feature of the disorder and may represent a risk factor for its development. However, whether global intelligence decreases over time in schizophrenia is not known. The aims of this quantitative meta-analysis are to gather, integrate and estimate the overall mean effect size of IQ change over time in schizophrenia as compared to healthy individuals. METHODS: A systematic search was conducted to identify relevant studies. Longitudinal studies with at least two intelligence assessments in schizophrenia cohorts were retrieved. Studies had to report sufficient data on IQ-change and include data from healthy comparisons for computation of effect sizes. For each study, the Cohen d was calculated as well as a combined mean effect size. RESULTS: Fourteen studies were identified. Eight studies with a total of 280 patients and 306 healthy controls were suitable to be included. The mean weighted baseline IQ was 97.20 for patients and 109.26 for controls. The mean weighted IQ-change per year was +0.33 for patients and +2.08 for controls. The combined effect size was Cohen's d = -0.48, p = 0.01. CONCLUSIONS: A global cognitive deficit is present in patients with schizophrenia expressed as a lower test score increase over repeated testing as compared to healthy subjects possibly due to the lack of practice effects in patients. Thus, schizophrenia is characterized by a relative lack of gain in global cognitive abilities over time.",,What were the mean weighted baseline IQ scores for patients and controls?,"Patients: 97.20, Controls: 109.26.","The mean weighted intelligence after treatment for patients and controls was 97.2 and 109.2, respectively. Compared to recruited healthy controls, treated children had lower IQ scores. The results remained significant when looking at studies using controls recruited from the patient's family. Cognitive difficulties and impairments were more frequent in patients than in the general population. Patients with cognitive difficulties had lower educational levels and more grade programs.",
List-Type,20301331,,"CLINICAL CHARACTERISTICS: Achondroplasia is the most common cause of disproportionate short stature. Affected individuals have rhizomelic shortening of the limbs, macrocephaly, and characteristic facial features with frontal bossing and midface retrusion. In infancy, hypotonia is typical, and acquisition of developmental motor milestones is often both aberrant in pattern and delayed. Intelligence and life span are usually near normal, although craniocervical junction compression increases the risk of death in infancy. Additional complications include obstructive sleep apnea, middle ear dysfunction, kyphosis, and spinal stenosis. DIAGNOSIS/TESTING: Achondroplasia can be diagnosed by characteristic clinical and radiographic findings in most affected individuals. In individuals in whom there is diagnostic uncertainty or who have atypical findings, identification of a heterozygous pathogenic variant in FGFR3 can establish the diagnosis. MANAGEMENT: Treatment of manifestations: Vosoritide, a C-type natriuretic peptide (CNP) analog, was recently approved to enhance height in individuals with achondroplasia from age five years until growth plates close. Ventriculoperitoneal shunt may be required for increased intracranial pressure; suboccipital decompression as indicated for signs and symptoms of craniocervical junction compression; adenotonsillectomy, positive airway pressure, and, rarely, tracheostomy to correct obstructive sleep apnea; pressure-equalizing tubes for middle ear dysfunction; monitor and treat obesity; evaluation and treatment by an orthopedist if progressive bowing of the legs arises; spinal surgery may be needed for severe, persistent kyphosis; surgery to correct spinal stenosis in symptomatic adults; modification in the school and work setting to optimize function; educational support in socialization and school adjustment. Surveillance: Monitor height, weight, and head circumference in childhood using growth curves standardized for achondroplasia; evaluation of developmental milestones throughout infancy and childhood using achondroplasia-specific standards; baseline neuroimaging of craniocervical junction and brain in infancy; neurologic examinations monitoring for signs of cervical myelopathy; monitor for signs and symptoms of sleep apnea; hearing evaluation as a newborn and tympanometric and behavioral audiometric evaluation by age approximately one year; monitor for middle ear problems or evidence of hearing loss in childhood; clinical assessment for kyphosis and bowed legs, with radiographic evaluation and referral to an orthopedist if necessary; in adults, clinical history and neurologic examination to screen for spinal stenosis with development of any new signs or symptoms or at least every three to five years; discuss social adjustment at each visit with primary care provider. Agents/circumstances to avoid: Rear-facing car seats should be used as long as possible to avoid injury from motor vehicle accident. Avoid soft-back infant seats and front carriers without a firm back. Avoid activities in which there is risk of injury to the craniocervical junction, such as collision sports; use of a trampoline; diving from diving boards; vaulting in gymnastics; and hanging upside down from the knees or feet on playground equipment (due to risk of falling onto the head or neck). Pregnancy management: Pregnant women with achondroplasia must undergo cesarean section delivery because of small pelvic size. GENETIC COUNSELING: Achondroplasia is inherited in an autosomal dominant manner. Around 80% of individuals with achondroplasia have parents with average stature and have achondroplasia as the result of a de novo pathogenic variant. Such parents have a very low risk of having another child with achondroplasia. An individual with achondroplasia who has a reproductive partner with average stature is at 50% risk in each pregnancy of having a child with achondroplasia. When both parents have achondroplasia, the risk to their offspring of having average stature is 25%; of having achondroplasia, 50%; and of having homozygous achondroplasia (a lethal condition), 25%. If the proband and the proband's reproductive partner are affected with different dominantly inherited skeletal dysplasias, genetic counseling becomes more complicated because of the risk of inheriting two dominant skeletal dysplasias. If the FGFR3 pathogenic variant has been identified in the affected parent or parents, prenatal testing for a pregnancy at increased risk for achondroplasia is possible.",,What are some complications associated with achondroplasia?,"Complications include obstructive sleep apnea, middle ear dysfunction, kyphosis, spinal stenosis, and increased risk of death in infancy due to craniocervical junction compression.","Yes, achondroplasia can lead to several complications, including disproportionate short stature, rhizomelic shortening, midface hypoplasia, lumbar hyperlordosis, and trident hand configuration. These complications can affect a person's life expectancy, social and medical well-being, and physical abilities.",
List-Type,25541740,,"PURPOSE: The Autism Diagnostic Observation Schedule (ADOS) contains a narrative generation task in which clients tell a story from a wordless picture book; however, the resulting narrative is not usually examined for its linguistic properties. This study aimed to examine narrative generation in autism spectrum disorder (ASD) by comparing narratives elicited from children with ASD during the ADOS to those produced by language-matched typically-developing (TD) peers. METHOD: Participants were children with ASD (n = 11) and TD controls (n = 17). Both groups were aged 9-15 years and were matched for expressive and receptive language skills and non-verbal intelligence. Narratives were analysed for local structure elements (length, fluency, errors, semantics and syntax), cohesion and global elements (story grammar and internal state language). RESULT: Results indicated that the narratives of the children with ASD were syntactically less complex, contained more ambiguous pronouns and included fewer story grammar elements than their control counterparts; with further analysis showing differences between younger and older children. CONCLUSION: The present findings provide evidence that children with ASD exhibit subtle story generation impairments and provide preliminary support for the inclusion of narratives elicited as part of the ADOS in the assessment of specific language skills in this population",,What were the elements analyzed in the narratives of children with ASD during the ADOS?,"Local structure elements (length, fluency, errors, semantics, and syntax), cohesion, and global elements (story grammar and internal state language).",The studies of children with ASD during the ADOS were analysed for their social communication and social interaction skills.,
List-Type,25562770,,"BACKGROUND: The Biologics Price Competition and Innovation Act, introduced as part of the Affordable Care Act, directed the FDA to create an approval pathway for biologic products shown to be biosimilar or interchangeable with an FDA-approved innovator drug. These biosimilars will not be chemically identical to the reference agent. Investigational studies conducted with biosimilar agents will likely provide limited real-world evidence of their effectiveness and safety. How do we best monitor effectiveness and safety of biosimilar products once approved by the FDA and used more extensively by patients? OBJECTIVE: To determine the feasibility of developing a distributed research network that will use health insurance plan and health delivery system data to detect biosimilar safety and effectiveness signals early and be able to answer important managed care pharmacy questions from both the government and managed care organizations. METHODS: Twenty-one members of the AMCP Task Force on Biosimilar Collective Intelligence Systems met November 12, 2013, to discuss issues involved in designing this consortium and to explore next steps. RESULTS: The task force concluded that a managed care biosimilars research consortium would be of significant value. Task force members agreed that it is best to use a distributed research network structurally similar to existing DARTNet, HMO Research Network, and Mini-Sentinel consortia. However, for some surveillance projects that it undertakes, the task force recognizes it may need supplemental data from managed care and other sources (i.e., a """"hybrid"""" structure model). CONCLUSIONS: The task force believes that AMCP is well positioned to lead the biosimilar-monitoring effort and that the next step to developing a biosimilar-innovator collective intelligence system is to convene an advisory council to address organizational governance.",,Which consortia are mentioned as structurally similar to the proposed distributed research network?,"DARTNet, HMO Research Network, and Mini-Sentinel.","The task force recognizes that it may need supplemental data from managed care and other sources (i.e., a ""hybrid"" structure model).",
List-Type,25705050,,"Previous research has indicated a close link between spatial and mathematical thinking. However, what shared processes account for this link? In this study, we focused on the spatial skill of map reading and the mathematical skill of proportional reasoning and investigated whether scaling, or the ability to relate information in different-sized representations, is a shared process. Scaling was experimentally manipulated in both tasks. In the map task, 4- and 5-year-olds (N=50) were asked to point to the same position shown on a map in a larger referent space on a touch screen. The sizes of the maps were varied systematically, such that some trials required scaling and some did not (i.e., the map had the same size as the referent space). In the proportional reasoning task, children were presented with different relative amounts of juice and water and were asked to estimate each mixture on a rating scale. Again, some trials required scaling, but others could be solved by directly mapping the proportional components onto the rating scale. Children's absolute errors in locating targets in the map task were closely related to their performance in the proportional reasoning task even after controlling for age and verbal intelligence. Crucially, this was only true for trials that required scaling, whereas performance on nonscaled trials was not related. These results shed light on the mechanisms involved in the close connection between spatial and mathematical thinking early in life.",,What were the variations in the map task that involved scaling manipulation?,"The variations included systematically changing the sizes of maps, requiring scaling in some trials and not in others.","The variations in the map task that involved scaling manipulation were related to children's performance in the proportional reasoning task. Specifically, children's absolute errors in locating targets in the map task were closely related to their performance in the proportional reasoning task, even after controlling for age and verbal intelligence. Crucially, this was only true for trials involving scaling manipulation.",
List-Type,27708145,,"There is considerable controversy about the existence, extent and adaptive value of integrated multimodal memory in non-human animals. Building on prior results showing that wild capuchin monkeys in Argentina appear to recall both the location and amount of food at patches they had previously visited, I tested whether they also track and use elapsed time as a basis for decisions about which feeding patches to visit. I presented them with an experimental array of eight feeding sites, at each of which food rewards increased with increasing elapsed time since the previous visit, similar to the pattern of ripe fruit accumulation in natural feeding trees. Over the course of 68 days, comprising two distinct renewal rate treatments, one group repeatedly visited sites in the feeding array, generating 212 valid choices between sites. Comparison of observations against simulated movements and multinomial statistical models shows that the monkeys' choices were most consistent with dynamic memory for elapsed time specific to each of the eight sites. Thus, it appears that capuchin monkeys possess and use integrated memories of prior food patch use, including where the patch is relative to their current location, how productive the patch is and how long it has been since they last visited the patch. Natural selection to use such integrated memories in foraging tasks may provide an ecologically relevant basis for the evolution of complex intelligence in primates.",,What are the components of integrated memory that capuchin monkeys in Argentina use for making decisions about which feeding patches to visit?,"Capuchin monkeys recall the location, productivity, and elapsed time since the last visit of prior food patches.",Capuchins use integrated memory of elapsed time and location to make decisions about which feeding patches to visit.,
List-Type,28073076,,"BACKGROUND: The neuropsychological literature on preterm-born children with spastic diplegia due to periventricular leukomalacia is convergent in reporting deficits in non-verbal intelligence and in visuo-spatial abilities. Nevertheless, other cognitive functions have found to be impaired, but data are scant and not correlated with neuroimaging findings. AIMS: This study analyzes the neuropsychological strengths and weaknesses in preterm-born children with spastic diplegia (pSD) and their relationships with neuroanatomical findings, investigated by a novel scale for MRI classification. METHODS AND PROCEDURES: Nineteen children with pSD, mild to moderate upper limb impairment and Verbal IQ>80, and 38 normal controls were evaluated with a comprehensive neuropsychological battery (NEPSY-II), assessing Attention/Executive Functioning, Language, Memory, Sensorimotor, Social Perception and Visuospatial Processing domains. The MRIs were quantitatively scored for lesion severity. OUTCOMES AND RESULTS: The results showed that, beyond core visuo-spatial and sensory-motor deficits, impairments in attention and executive functions were present in more than half of the sample, particularly in children with damage to the anterior corpus callosum. CONCLUSIONS AND IMPLICATIONS: The findings are discussed in terms of clinical and rehabilitative implications tailored for pSD subgroups diversified for neuropsychological and neuroanatomical characteristics.",, What are the neuropsychological strengths and weaknesses analyzed in preterm-born children with spastic diplegia (pSD)?,"The neuropsychological strengths and weaknesses include deficits in attention, executive functions, core visuo-spatial, and sensory-motor abilities.","Neuropsychological strengths and weaknesses in preterm-born children with spastic diplegia (pSD) and their relationships with neuroanatomical findings, investigated by a novel scale for MRI classification. METHODS AND PROCEDURES: Nineteen children with pSD, mild to moderate upper limb impairment, and Verbal IQ>80, and 38 normal controls were evaluated with a comprehensive neuropsychological battery (NEPSY-II), assessing Attention/Executive Functioning, Language, Memory, Sensorimotor, Social Perception, and Neuropsychological strengths and weaknesses in preterm-born children with spastic diplegia (pSD) and their relationships with neuroanatomical findings, investigated by a novel scale for MRI classification. METHODS AND PROCEDURES: Nineteen children with pSD, mild to moderate upper limb impairment, and Verbal IQ>80, and 38 normal controls were evaluated with a comprehensive neuropsychological battery (NEPSY-II), assessing Attention/Executive Functioning, Language, Memory, Sensorimotor, Social Perception, and Neuropsychological strengths and weaknesses in preterm-born children with spastic diplegia (pSD) and their relationships with neuroanatomical findings, investigated by a novel scale for MRI classification. METHODS AND PROCEDURES: Nineteen children with pSD, mild to moderate upper limb impairment, and Verbal IQ>80, and 38 normal controls were evaluated with a comprehensive neuropsychological battery (NEPSY-II), assessing Attention/Executive Functioning, Language, Memory, Sensorimotor, Social Perception, and Neuropsychological strengths and weaknesses in preterm-born children with spastic diplegia (pSD) and their relationships with neuroanatomical findings, investigated by a novel scale for MRI classification. METHODS AND PROCEDURES: Nineteen children with pSD, mild to moderate upper limb impairment, and Verbal IQ>80, and 38 normal controls were evaluated with a comprehensive neuropsychological battery (NEPSY-II), assessing Attention/Executive Functioning, Language, Memory, Sensorimotor, Social Perception, and Neuropsychological strengths and weaknesses in preterm-born children with spastic diplegia (pSD) and their relationships with neuroanatomical findings,",
List-Type,25876339,,"OBJECTIVE: To compare the differences in the clinical efficacy on Alzheimer's disease between acupuncture and medicine. METHODS: One hundred and forty-one patients were randomized into an acupuncture group (72 cases) and a medicine group (69 cases). In the acupuncture group, the needling technique for benefiting qi, promoting blood circulation, regulating mind and improving intelligence was used at Shenting (GV 24), Baihui (GV 20), Fengchi (GB 20), Wangu (GB 12), Danzhong (CV 17), Zhangwan (CV 12), Qihai (CV 6), Xuehai (SP 10) and Zusanli (ST 36). The supplementary acupoints were selected according to the symptoms and physical signs. Acupuncture was given once a day and 6 treatments were required for a week. In the medicine group, the choline sterase inhibitor, donepezil (aricept) was prescribed for oral administration, 1 tablet (5 mg) each time, once every night. Four weeks later, the dose was increased to 2 tablets (10 mg) each time. In the two groups, the treatment of 4 weeks made one session and 4 sessions were required. The changes of scores before and after treatment in the minimum mental state examination (MMSE), the activity of daily living scale (ADL), Alzheimer's disease assessment scale-cognition (ADAS-cog) and the digit span (DS) were observed. RESULTS: After treatment, scores of MMSE and DS were increased as compared with those before treatment (both P < 0.05) and scores of ADL and ADAS-cog were reduced as compared with those before treatment. The score differences in MMSE, ADL, ADAS-cog and DS before and after treatment were significant in the two groups (all P < 0.01). CONCLUSION: The needling technique for benefiting qi, promoting blood circulation, regulating mind and improving intelligence significantly improves the overall function, cognition and activity of daily life in the patients of Alzheimer's disease and the efficacy is better than donepezil.",,What are the primary outcomes measured to assess the clinical efficacy of acupuncture versus medicine in treating Alzheimer's disease?,"Minimum Mental State Examination (MMSE) score changes, Activity of Daily Living Scale (ADL)score changes, Alzheimer's Disease Assessment Scale-Cognition (ADAS-cog)score changes, and Digit Span (DS)score changes.","The primary outcomes measured to assess the clinical efficacy of acupuncture versus medicine in treating Alzheimer's disease are the overall function, cognition and activity of daily life. The results showed that the acupuncture group significantly improved the overall function, cognition and activity of daily life compared to the medicine group. Furthermore, the fMRI results indicated that the acupuncture group had significant changes in brain function compared to the medicine group.",
Factoid-type,23277023,,"The cochlear outer hair cells serve a tuning function, and any dysfunction of their electromotile response can be reflected in language disorders. Otoacoustic emissions can be used to determine any dysfunction of these cells. A set of clinical records was established to register the neurological and auditory functioning in 42 children, followed by assessment with the Wechsler Intelligence Scale for Children (WISC), the Initial Language Test (ILT), the Auditory and Phonetic Discrimination Evaluation (APDE), tests for measuring Brainstem Auditory Evoked Potential (BAEP) and Transient Otoacoustic Emissions (TOAE). Subjects were classified into 3 groups in this study: Control (C; n = 20), Syntactic Phonological Disorder (SPD; n = 17), and those with Phonological Disability (PD; n = 5). BAEP studies showed a clear response when all children were stimulated to 20 dB. TOAE responses displayed clear and significant differences with half-octave band reproducibility for both ears, the largest effect being observed in the right ear. The results that were compared using ANOVA tests, showed that cochlear processing affects the brain language function, playing a critical role in the language phonetic process.",,What assessment tools were used in the study to evaluate neurological and auditory functioning in children?," The study used the Wechsler Intelligence Scale for Children (WISC), the Initial Language Test (ILT), the Auditory and Phonetic Discrimination Evaluation (APDE), tests for measuring Brainstem Auditory Evoked Potential (BAEP), and Transient Otoacoustic Emissions (TOAE).","The study used three sources of reliability evidence for the Gibson Assessment of Cognitive Skills, including the Wechsler Intelligence Scales for Children Fifth Edition and the Weschler Preschool & Primary School for Intelligence Fourth Edition. The analysis revealed that P1 and N1 repetition effects were observed.",
Factoid-type,23356683,,"Development of the Woodcock-Johnson (3rd ed.; WJ-III; Woodcock, McGrew & Mather, 2001a) was guided in part by Carroll's (1993) 3-stratum theory of cognitive abilities and based on confirmatory factor analysis (CFA), even though Carroll used exploratory factor analysis (EFA) to derive his theory. Using CFA, McGrew and Woodcock (2001) found a 9-factor model across all age ranges. To determine if the 9-factor structure holds for the full WJ-III battery, we applied currently recognized best practices in EFA to 2 school-aged 42-subtest correlation matrices (ages 9-13 and 14-19 years). Six factors emerged at the 9-13 age range, while 5 factors were indicated at the 14-19 age range. The resulting 1st-order factors displayed patterns of both convergence with and divergence from the WJ-III results presented in the Technical Manual. These results also revealed a robust manifestation of general intelligence (g) that dwarfed the variance attributed to the lower order factors. It is surprising that this study represents the first time the WJ-III full battery was subjected to EFA analyses given the instrument's significant use by practitioners and that it served as the initial evidentiary basis for Cattell-Horn-Carroll (CHC) theory. The lack of confirmation of CFA results with EFA methods in the current study permits questioning of the structure of the WJ-III and its relationship with CHC theory. Additional independent, structural analyses are clearly indicated for the WJ-III full test battery before we can be confident in its structure.",,What was the result of applying confirmatory factor analysis (CFA) to the Woodcock-Johnson (WJ-III)?, A 9-factor model was found across all age ranges.,"The Woodcock-Johnson Cognitive Assessment of Basic Skills (WJ-CBAS) is a comprehensive assessment battery designed to assess cognitive abilities, as defined by the Cattell-Horn-Carroll (CHC) theory of intelligence. Previous studies examined the invariance of the WJ assessments across sex and age groups using factor analytic methods. Psychometric network modeling is an alternative methodology that can address both direct and indirect relationships among the observed variables. In this study, we used a network modeling approach to examine the structure of the WJ-III Cognitive and WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) in relation to the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) and the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) in relation to the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) and the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) in relation to the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) and the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) in relation to the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) and the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) in relation to the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) and the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) in relation to the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) and the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) in relation to the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) and the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) in relation to the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) and the WJ-III Cognitive-Cognitive Battery (WJ-III Cognitive-CB) in relation to the WJ-III Cognitive-Cognitive Battery",
Factoid-type,23490758,,"BACKGROUND: Cognitive deficits have been recognized as a key feature of schizophrenia, since the first description by Kraepelin. Specifically, lower intelligence is considered a core feature of the disorder and may represent a risk factor for its development. However, whether global intelligence decreases over time in schizophrenia is not known. The aims of this quantitative meta-analysis are to gather, integrate and estimate the overall mean effect size of IQ change over time in schizophrenia as compared to healthy individuals. METHODS: A systematic search was conducted to identify relevant studies. Longitudinal studies with at least two intelligence assessments in schizophrenia cohorts were retrieved. Studies had to report sufficient data on IQ-change and include data from healthy comparisons for computation of effect sizes. For each study, the Cohen d was calculated as well as a combined mean effect size. RESULTS: Fourteen studies were identified. Eight studies with a total of 280 patients and 306 healthy controls were suitable to be included. The mean weighted baseline IQ was 97.20 for patients and 109.26 for controls. The mean weighted IQ-change per year was +0.33 for patients and +2.08 for controls. The combined effect size was Cohen's d = -0.48, p = 0.01. CONCLUSIONS: A global cognitive deficit is present in patients with schizophrenia expressed as a lower test score increase over repeated testing as compared to healthy subjects possibly due to the lack of practice effects in patients. Thus, schizophrenia is characterized by a relative lack of gain in global cognitive abilities over time.",,"What is the effect of schizophrenia on global intelligence change over time compared to healthy individuals, based on a quantitative meta-analysis of longitudinal studies?","The quantitative meta-analysis found that patients with schizophrenia show a significantly smaller increase in global intelligence over time compared to healthy individuals, with a mean weighted IQ change per year of +0.33 for patients and +2.08 for controls, indicating a relative lack of gain in global cognitive abilities over time in patients with schizophrenia.","The meta-analysis found that the mean effect size of IQ change over time in schizophrenia is smaller than that in healthy individuals. The overall mean effect size of IQ change over time in schizophrenia is -0.13, which is lower than the effect size of 0.27 in healthy individuals. The results suggest that the cognitive deficits in schizophrenia may be more pronounced in the short-term compared to the long-term.",
Factoid-type,20301331,,"CLINICAL CHARACTERISTICS: Achondroplasia is the most common cause of disproportionate short stature. Affected individuals have rhizomelic shortening of the limbs, macrocephaly, and characteristic facial features with frontal bossing and midface retrusion. In infancy, hypotonia is typical, and acquisition of developmental motor milestones is often both aberrant in pattern and delayed. Intelligence and life span are usually near normal, although craniocervical junction compression increases the risk of death in infancy. Additional complications include obstructive sleep apnea, middle ear dysfunction, kyphosis, and spinal stenosis. DIAGNOSIS/TESTING: Achondroplasia can be diagnosed by characteristic clinical and radiographic findings in most affected individuals. In individuals in whom there is diagnostic uncertainty or who have atypical findings, identification of a heterozygous pathogenic variant in FGFR3 can establish the diagnosis. MANAGEMENT: Treatment of manifestations: Vosoritide, a C-type natriuretic peptide (CNP) analog, was recently approved to enhance height in individuals with achondroplasia from age five years until growth plates close. Ventriculoperitoneal shunt may be required for increased intracranial pressure; suboccipital decompression as indicated for signs and symptoms of craniocervical junction compression; adenotonsillectomy, positive airway pressure, and, rarely, tracheostomy to correct obstructive sleep apnea; pressure-equalizing tubes for middle ear dysfunction; monitor and treat obesity; evaluation and treatment by an orthopedist if progressive bowing of the legs arises; spinal surgery may be needed for severe, persistent kyphosis; surgery to correct spinal stenosis in symptomatic adults; modification in the school and work setting to optimize function; educational support in socialization and school adjustment. Surveillance: Monitor height, weight, and head circumference in childhood using growth curves standardized for achondroplasia; evaluation of developmental milestones throughout infancy and childhood using achondroplasia-specific standards; baseline neuroimaging of craniocervical junction and brain in infancy; neurologic examinations monitoring for signs of cervical myelopathy; monitor for signs and symptoms of sleep apnea; hearing evaluation as a newborn and tympanometric and behavioral audiometric evaluation by age approximately one year; monitor for middle ear problems or evidence of hearing loss in childhood; clinical assessment for kyphosis and bowed legs, with radiographic evaluation and referral to an orthopedist if necessary; in adults, clinical history and neurologic examination to screen for spinal stenosis with development of any new signs or symptoms or at least every three to five years; discuss social adjustment at each visit with primary care provider. Agents/circumstances to avoid: Rear-facing car seats should be used as long as possible to avoid injury from motor vehicle accident. Avoid soft-back infant seats and front carriers without a firm back. Avoid activities in which there is risk of injury to the craniocervical junction, such as collision sports; use of a trampoline; diving from diving boards; vaulting in gymnastics; and hanging upside down from the knees or feet on playground equipment (due to risk of falling onto the head or neck). Pregnancy management: Pregnant women with achondroplasia must undergo cesarean section delivery because of small pelvic size. GENETIC COUNSELING: Achondroplasia is inherited in an autosomal dominant manner. Around 80% of individuals with achondroplasia have parents with average stature and have achondroplasia as the result of a de novo pathogenic variant. Such parents have a very low risk of having another child with achondroplasia. An individual with achondroplasia who has a reproductive partner with average stature is at 50% risk in each pregnancy of having a child with achondroplasia. When both parents have achondroplasia, the risk to their offspring of having average stature is 25%; of having achondroplasia, 50%; and of having homozygous achondroplasia (a lethal condition), 25%. If the proband and the proband's reproductive partner are affected with different dominantly inherited skeletal dysplasias, genetic counseling becomes more complicated because of the risk of inheriting two dominant skeletal dysplasias. If the FGFR3 pathogenic variant has been identified in the affected parent or parents, prenatal testing for a pregnancy at increased risk for achondroplasia is possible.",,What are some clinical characteristics of individuals affected by achondroplasia?,"Clinical characteristics include rhizomelic shortening of limbs, macrocephaly, frontal bossing, midface retrusion, and hypotonia in infancy.","Language difficulties are common in individuals with achondroplasia. These difficulties can range from mild to severe and can affect the acquisition of developmental motor milestones. The majority of affected individuals have normal intelligence, but some may experience learning disabilities.",
Factoid-type,25541740,,"PURPOSE: The Autism Diagnostic Observation Schedule (ADOS) contains a narrative generation task in which clients tell a story from a wordless picture book; however, the resulting narrative is not usually examined for its linguistic properties. This study aimed to examine narrative generation in autism spectrum disorder (ASD) by comparing narratives elicited from children with ASD during the ADOS to those produced by language-matched typically-developing (TD) peers. METHOD: Participants were children with ASD (n = 11) and TD controls (n = 17). Both groups were aged 9-15 years and were matched for expressive and receptive language skills and non-verbal intelligence. Narratives were analysed for local structure elements (length, fluency, errors, semantics and syntax), cohesion and global elements (story grammar and internal state language). RESULT: Results indicated that the narratives of the children with ASD were syntactically less complex, contained more ambiguous pronouns and included fewer story grammar elements than their control counterparts; with further analysis showing differences between younger and older children. CONCLUSION: The present findings provide evidence that children with ASD exhibit subtle story generation impairments and provide preliminary support for the inclusion of narratives elicited as part of the ADOS in the assessment of specific language skills in this population",,What were the key linguistic differences observed in the narratives of children with ASD compared to TD peers during the ADOS?,"Syntactic complexity, ambiguous pronouns, and the presence of story grammar elements.",Yes. Explanation: The study found that children with ASD produced narratives with fewer story grammar elements and more ambiguous pronouns compared to their TD peers. This suggests that children with ASD may have difficulty with the structure and coherence of their narratives.,
